Coverage: 9.14%

LLVM-COV REPORT:
Filename                                                                  Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
opt/homebrew/lib/QtCore.framework/Headers/qnamespace.h                         26                26     0.00%          26                26     0.00%          74                74     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qnumeric.h                           17                13    23.53%          14                12    14.29%          26                22    15.38%           2                 1    50.00%
opt/homebrew/lib/QtCore.framework/Headers/qobject.h                            40                27    32.50%          24                22     8.33%          91                56    38.46%           6                 4    33.33%
opt/homebrew/lib/QtCore.framework/Headers/qobject_impl.h                        2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qobjectdefs.h                        24                24     0.00%          24                24     0.00%          37                37     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qobjectdefs_impl.h                   42                30    28.57%          28                20    28.57%          99                65    34.34%          12                 5    58.33%
opt/homebrew/lib/QtCore.framework/Headers/qoverload.h                           1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qpoint.h                             59                51    13.56%          57                51    10.53%         142               130     8.45%           4                 1    75.00%
opt/homebrew/lib/QtCore.framework/Headers/qrect.h                             140               135     3.57%         140               135     3.57%         345               340     1.45%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qrefcount.h                           6                 6     0.00%           6                 6     0.00%          22                22     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qregularexpression.h                 24                24     0.00%          24                24     0.00%          58                58     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qscopedpointer.h                      4                 3    25.00%           4                 3    25.00%           8                 5    37.50%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qshareddata.h                         6                 6     0.00%           6                 6     0.00%           6                 6     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qsharedpointer_impl.h                 9                 9     0.00%           9                 9     0.00%          12                12     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qsize.h                              61                56     8.20%          61                56     8.20%         108               101     6.48%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qstring.h                           322               311     3.42%         318               309     2.83%         443               431     2.71%           2                 1    50.00%
opt/homebrew/lib/QtCore.framework/Headers/qstringalgorithms.h                   6                 3    50.00%           3                 2    33.33%          26                21    19.23%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qstringbuilder.h                     31                31     0.00%          31                31     0.00%          77                77     0.00%           0                 0         -
